o3,count,count_frac,I_bits_given_o3,max_abs_dev,chi2_stat,csv
0,1998730,0.0999365,3.921181669448496e-05,0.00022999950512996546,108.68725251730392,joint_counts_o3_0.csv
1,1999340,0.099967,2.5788677324805893e-05,0.00015133243392628955,71.47824326693768,joint_counts_o3_1.csv
2,2000579,0.10002895,3.178273645507642e-05,0.0001605617657808884,88.17024972263714,joint_counts_o3_2.csv
3,1999342,0.0999671,3.361437046170204e-05,0.0001871763147549589,93.135552676142,joint_counts_o3_3.csv
4,1998949,0.09994745,3.126962222890699e-05,0.00019977039802167654,86.65266948648694,joint_counts_o3_4.csv
5,2003529,0.10017645,2.963899281716948e-05,0.00015750713218831182,82.25634608874934,joint_counts_o3_5.csv
6,2000033,0.10000165,3.210967105577281e-05,0.00020464859104078054,88.93461469897089,joint_counts_o3_6.csv
7,2001270,0.1000635,2.3526625715212457e-05,0.00013973027096314018,65.28030723391456,joint_counts_o3_7.csv
8,1998162,0.0999081,3.4747787176641116e-05,0.00016569051197526906,96.2426124724786,joint_counts_o3_8.csv
9,2000066,0.1000033,2.1965012891812066e-05,0.0001603831777856092,60.88078219258032,joint_counts_o3_9.csv
